direct, domb, r0
0.003085, 0.003085, 0.003085
0.003072, 0.003072, 0.003072
0.003111, 0.003111, 0.003111
0.003066, 0.003066, 0.003066
0.003077, 0.003077, 0.003077
0.00307, 0.00307, 0.00307
0.003148, 0.003148, 0.003148
0.003077, 0.003077, 0.003077
0.003082, 0.003082, 0.003082
0.003074, 0.003074, 0.003074
0.003072, 0.003072, 0.003072
0.003068, 0.003068, 0.003068
0.003079, 0.003079, 0.003079
0.003069, 0.003069, 0.003069
0.003074, 0.003074, 0.003074
0.003089, 0.003089, 0.003089
0.003068, 0.003068, 0.003068
0.003078, 0.003078, 0.003078
0.003088, 0.003088, 0.003088
0.003071, 0.003071, 0.003071
0.003076, 0.003076, 0.003076
0.003065, 0.003065, 0.003065
0.003076, 0.003076, 0.003076
0.003071, 0.003071, 0.003071
0.00307, 0.00307, 0.00307
0.003096, 0.003096, 0.003096
0.003065, 0.003065, 0.003065
0.003074, 0.003074, 0.003074
0.003073, 0.003073, 0.003073
0.00307, 0.00307, 0.00307
0.003078, 0.003078, 0.003078
0.003067, 0.003067, 0.003067
0.003075, 0.003075, 0.003075
0.003073, 0.003073, 0.003073
0.003069, 0.003069, 0.003069
0.003078, 0.003078, 0.003078
0.003068, 0.003068, 0.003068
0.003074, 0.003074, 0.003074
0.003089, 0.003089, 0.003089
0.003066, 0.003066, 0.003066
0.003078, 0.003078, 0.003078
0.00307, 0.00307, 0.00307
0.003071, 0.003071, 0.003071
0.003077, 0.003077, 0.003077
0.003067, 0.003067, 0.003067
0.003077, 0.003077, 0.003077
0.003071, 0.003071, 0.003071
0.00307, 0.00307, 0.00307
0.003078, 0.003078, 0.003078
0.003068, 0.003068, 0.003068
0.003075, 0.003075, 0.003075
0.003072, 0.003072, 0.003072
0.003069, 0.003069, 0.003069
0.003078, 0.003078, 0.003078
0.003069, 0.003069, 0.003069
0.003073, 0.003073, 0.003073
0.003074, 0.003074, 0.003074
0.003067, 0.003067, 0.003067
0.003077, 0.003077, 0.003077
0.00307, 0.00307, 0.00307
0.003071, 0.003071, 0.003071
0.003076, 0.003076, 0.003076
0.003082, 0.003082, 0.003082
0.003077, 0.003077, 0.003077
0.003071, 0.003071, 0.003071
0.00307, 0.00307, 0.00307
0.003092, 0.003092, 0.003092
0.003068, 0.003068, 0.003068
0.003075, 0.003075, 0.003075
0.003073, 0.003073, 0.003073
0.003068, 0.003068, 0.003068
0.003079, 0.003079, 0.003079
0.003069, 0.003069, 0.003069
0.003074, 0.003074, 0.003074
0.00309, 0.00309, 0.00309
0.003068, 0.003068, 0.003068
0.003079, 0.003079, 0.003079
0.003069, 0.003069, 0.003069
0.003071, 0.003071, 0.003071
0.003075, 0.003075, 0.003075
0.003066, 0.003066, 0.003066
0.003076, 0.003076, 0.003076
0.00307, 0.00307, 0.00307
0.003071, 0.003071, 0.003071
0.003078, 0.003078, 0.003078
0.003067, 0.003067, 0.003067
0.003075, 0.003075, 0.003075
0.003072, 0.003072, 0.003072
0.003069, 0.003069, 0.003069
0.003079, 0.003079, 0.003079
0.003068, 0.003068, 0.003068
0.003074, 0.003074, 0.003074
0.003075, 0.003075, 0.003075
0.003068, 0.003068, 0.003068
0.003077, 0.003077, 0.003077
0.00307, 0.00307, 0.00307
0.003088, 0.003088, 0.003088
0.003076, 0.003076, 0.003076
0.003197, 0.003197, 0.003197
0.003069, 0.003069, 0.003069
0.003078, 0.003078, 0.003078
0.00307, 0.00307, 0.00307
0.003094, 0.003094, 0.003094
0.003072, 0.003072, 0.003072
0.003072, 0.003072, 0.003072
0.003074, 0.003074, 0.003074
0.00307, 0.00307, 0.00307
0.003075, 0.003075, 0.003075
0.003067, 0.003067, 0.003067
0.003077, 0.003077, 0.003077
0.003067, 0.003067, 0.003067
0.003078, 0.003078, 0.003078
0.003068, 0.003068, 0.003068
0.003078, 0.003078, 0.003078
0.00307, 0.00307, 0.00307
0.003075, 0.003075, 0.003075
0.003071, 0.003071, 0.003071
0.003072, 0.003072, 0.003072
0.003073, 0.003073, 0.003073
0.003071, 0.003071, 0.003071
0.003075, 0.003075, 0.003075
0.003069, 0.003069, 0.003069
0.003078, 0.003078, 0.003078
0.003066, 0.003066, 0.003066
0.003079, 0.003079, 0.003079
0.003067, 0.003067, 0.003067
0.003076, 0.003076, 0.003076
0.00307, 0.00307, 0.00307
0.003074, 0.003074, 0.003074
0.003071, 0.003071, 0.003071
0.003073, 0.003073, 0.003073
0.003073, 0.003073, 0.003073
0.003071, 0.003071, 0.003071
0.003076, 0.003076, 0.003076
